titre,score,genre,année,durée,description,acteurs,pays
Blade Runner,8.1,Action,1982,1h 57m,A blade runner must pursue and terminate four replicants who stole a ship in space and have returned to Earth to find their creator.,"Harrison Ford,Rutger Hauer,Sean Young",United States
12 Years a Slave,8.1,Biography,2013,2h 14m,"In the antebellum United States, Solomon Northup, a free Black man from upstate New York, is abducted and sold into slavery.","Chiwetel Ejiofor,Michael Kenneth Williams,Michael Fassbender",United Kingdom
Before Sunrise,8.1,Drama,1995,1h 41m,"A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together.","Ethan Hawke,Julie Delpy,Andrea Eckert",United States
Harry Potter and the Deathly Hallows: Part 2,8.1,Adventure,2011,2h 10m,"Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.","Daniel Radcliffe,Emma Watson,Rupert Grint",United Kingdom
My Neighbor Totoro,8.1,Animation,1988,1h 26m,"When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby.","Hitoshi Takagi,Noriko Hidaka,Chika Sakamoto",Japan
Million Dollar Baby,8.1,Drama,2004,2h 12m,"Frankie, an ill-tempered old coach, reluctantly agrees to train aspiring boxer Maggie. Impressed with her determination and talent, he helps her become the best and the two soon form a close bond.","Hilary Swank,Clint Eastwood,Morgan Freeman",United States
Children of Heaven,8.2,Drama,1997,1h 29m,"After a boy loses his sister's pair of shoes, he goes on a series of adventures in order to find them. When he can't, he tries a new way to ""win"" a new pair.","Mohammad Amir Naji,Amir Farrokh Hashemian,Bahare Seddiqi",Iran
Godzilla Minus One,8.3,Action,2023,2h 4m,"Post war Japan is at its lowest point when a new crisis emerges in the form of a giant monster, baptized in the horrific power of the atomic bomb.","Minami Hamabe,Sakura Andô,Ryunosuke Kamiki",Japan
Gran Torino,8.1,Drama,2008,1h 56m,"After a Hmong teenager tries to steal his prized 1972 Gran Torino, a disgruntled, prejudiced Korean War veteran seeks to redeem both the boy and himself.","Clint Eastwood,Bee Vang,Christopher Carley",Germany
Catch Me If You Can,8.1,Biography,2002,2h 21m,"Barely 17 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit.","Leonardo DiCaprio,Tom Hanks,Christopher Walken",United States
Warrior,8.1,Action,2011,2h 20m,"The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother.","Tom Hardy,Nick Nolte,Joel Edgerton",United States
Klaus,8.2,Animation,2019,1h 36m,"A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions.","Jason Schwartzman,J.K. Simmons,Rashida Jones",Spain
Spider-Man: No Way Home,8.2,Action,2021,2h 28m,"With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man.","Tom Holland,Zendaya,Benedict Cumberbatch",United States
Trainspotting,8.1,Drama,1996,1h 33m,"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out despite the allure of drugs and the influence of friends.","Ewan McGregor,Ewen Bremner,Jonny Lee Miller",United Kingdom
The Bridge on the River Kwai,8.1,Adventure,1957,2h 41m,"British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors in occupied Burma, not knowing that the allied forces are planning a daring commando raid through the jungle to destroy it.","William Holden,Alec Guinness,Jack Hawkins",United Kingdom
Fargo,8.1,Crime,1996,1h 38m,Minnesota car salesman Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.,"William H. Macy,Frances McDormand,Steve Buscemi",United States
